id,customer_text,gold_intent,gold_should_escalate,gold_reference_resolution,is_adversarial_or_edge_case,notes
gold_055,"I am traveling on military orders, can I change my flight date without fare difference?",booking_reservation_change,True,Direct to Delta Military Desk or DM for active duty waiver verification.,False,Military orders waiver
gold_056,How do I select bassinet seating for my 4 month old baby?,booking_reservation_change,False,Explain bulkhead bassinet reservation rules on international flights.,False,Infant bassinet request
gold_057,"Changed my flight but seat map shows unassigned, will I get a seat?",booking_reservation_change,False,Clarify that seats are assigned at gate for Basic Economy or full cabins.,False,Unassigned seat assurance
gold_058,Can I change my return destination to an entirely different city?,booking_reservation_change,False,Explain multi-city routing changes via My Trips with fare adjustment.,False,Routing alteration
gold_059,Delta cancelled my flight and refused to book me on another airline. I demand a full cash refund!,refund_compensation,False,Direct to delta.com/refunds for guaranteed cash refund on airline cancellations.,False,Mandatory refund for airline cancellation
gold_060,Where do I upload receipts for hotel and meals after an 18-hour overnight delay?,refund_compensation,False,Direct to expense reimbursement portal at delta.com/reimbursement.,False,Overnight expense submission
gold_061,I am taking Delta to court and filing a formal DOT complaint for refusing my refund!,refund_compensation,True,Escalate to Legal/Executive Customer Care due to litigation/regulatory threat.,True,Legal and regulatory complaint threat
gold_062,How long does it take for a credit card refund to process back to Chase Visa?,refund_compensation,False,State standard 7-10 business day timeline depending on issuing bank.,False,Refund processing timeline
gold_063,I was downgraded from First Class to Main Cabin on flight DL204. How do I get fare difference refund?,refund_compensation,False,Instruct passenger to submit involuntary downgrade claim at delta.com/refunds.,False,Involuntary downgrade refund
gold_064,Refund tracking #RF8829103 says approved 3 weeks ago but no money in bank.,refund_compensation,True,Request DM with confirmation number and banking ARN for escalation.,False,Delayed refund payout inquiry
gold_065,Can I cash out my unused Delta eCredit into real money?,refund_compensation,False,Explain that eCredits are non-refundable vouchers valid for future flights.,False,eCredit cash-out restriction
gold_066,"Delta lost my bag containing $5,000 worth of designer suits and watches!",refund_compensation,True,Escalate to High-Value Baggage Claims team with itemized receipts.,True,High monetary value claim
gold_067,Are passengers entitled to EU261 compensation for flight DL10 leaving Paris delayed 5 hours?,refund_compensation,False,Confirm EU261 eligibility for flights departing EU and guide to claim form.,False,EU261 regulatory compensation
gold_068,I paid $70 for seat selection on seats 12A and 12B but flight was switched and we sat in back. Refund?,refund_compensation,False,Guide customer to seat fee refund request portal.,False,Ancillary seat fee refund
gold_069,How do I claim reimbursement for taxi fare after my flight was diverted to another airport?,refund_compensation,False,Direct to delta.com/reimbursement with transportation receipts.,False,Diversion ground transport claim
gold_070,"My flight was delayed 2 hours. Am I entitled to $1,000 cash compensation?",refund_compensation,False,Clarify domestic delay compensation policies and self-service guidelines.,False,Unrealistic compensation expectation
gold_071,Can I get a refund on an un-flown ticket due to a medical illness with doctor's note?,refund_compensation,True,Direct to medical waiver submission and escalate to human agent review.,False,Medical illness waiver claim
gold_072,Where do I track my active compensation complaint case number #CAS-99210-K2?,refund_compensation,False,Direct to Customer Care case status lookup on delta.com/talktous.,False,Existing case tracking
gold_073,Charged $35 baggage fee twice for a single checked bag. Refund please.,refund_compensation,False,Direct to duplicate charge refund request online or DM bag tag receipt.,False,Duplicate baggage charge
gold_074,Delta offered a $200 travel voucher for voluntary bump. How do I redeem the code?,refund_compensation,False,Explain voucher redemption in payment step on delta.com.,False,Voluntary bump voucher redemption
gold_075,My Wi-Fi pass didn't work for 6 hours on flight DL32. How do I get my $15 back?,refund_compensation,False,Direct to In-Flight Wi-Fi customer support provider (Viasat/Intelsat) refund link.,False,Wi-Fi provider refund
gold_076,Involuntary denied boarding compensation under US DOT regulations.,refund_compensation,True,Escalate to Airport Customer Care supervisor for IDB compensation fulfillment.,True,Involuntary denied boarding (IDB)
gold_077,Where do I enter direct deposit details for approved Delta reimbursement?,refund_compensation,False,Provide instructions for secure payment link sent via official Delta email.,False,Direct deposit reimbursement
gold_078,Is Delta paying for clothes and toiletries while my luggage is delayed in Paris?,refund_compensation,False,Confirm reasonable interim expense coverage ($50/day) and submission instructions.,False,Interim baggage delay expenses
gold_079,Can I transfer an eCredit issued in my name to my daughter?,refund_compensation,False,Explain eCredit non-transferability policy unless issued as transferable certificate.,False,eCredit transfer restriction
gold_080,My flight was delayed 4 hours due to weather. Am I entitled to hotel reimbursement?,refund_compensation,False,Clarify that weather delays are force majeure and not covered for hotel reimbursement.,False,Weather delay reimbursement exclusion
gold_081,Refund request denied with no explanation. Reference #RF44019.,refund_compensation,True,Escalate to Customer Care for dispute review.,False,Refund denial dispute
gold_082,How do I claim compensation for a flight canceled due to technical computer glitch?,refund_compensation,False,Direct to customer care claim portal with travel details.,False,IT outage cancellation claim
gold_083,"I was promised 10,000 bonus SkyMiles for a broken seat entertainment screen, never received them.",refund_compensation,True,Request DM with SkyMiles account to verify goodwill compensation credit.,False,Missing goodwill mileage promise
gold_084,Does Delta refund the difference if the ticket price drops after I book?,refund_compensation,False,Explain modifying trip to receive difference as eCredit under no change fee policy.,False,Price drop eCredit policy
gold_085,Delta lost my luggage on DL1012 into Atlanta. Bag tag is DL839102. What do I do?,baggage_lost_damaged,False,Provide baggage claim link delta.com/bagtracking and instructions to file file reference.,False,Standard delayed bag
gold_086,"My suitcase arrived with broken wheels, ripped fabric, and missing items.",baggage_lost_damaged,False,Instruct customer to file damaged bag claim with photos at delta.com/damaged-bag within 24h.,False,Damaged baggage claim
gold_087,"Left my insulin medication in my checked bag that is missing, I need it urgently!",baggage_lost_damaged,True,Escalate immediately to Airport Operations for emergency medical baggage expedite.,True,Life-critical medical emergency in delayed luggage
gold_088,How much does it cost to check a golf bag on Delta domestic flight?,baggage_lost_damaged,False,Explain golf bags count as standard checked bag ($35 for 1st bag under 50lbs).,False,Sports equipment baggage fee
gold_089,Left my iPhone 15 Pro in seat pocket 12D on flight DL499 that landed in Seattle an hour ago.,baggage_lost_damaged,False,Instruct passenger to submit Lost & Found report online at delta.com/lostandfound immediately.,False,High value left-behind electronics
gold_090,"Baggage tracker in the app says bag was delivered to carousel 4, but carousel 4 is completely empty.",baggage_lost_damaged,True,Advise reporting to airport Baggage Service Office and initiate station trace.,False,Tracking scan mismatch
gold_091,Can I bring a guitar as a carry-on item in the overhead bin?,baggage_lost_damaged,False,Clarify FAA/Delta musical instrument carry-on rules.,False,Musical instrument policy
gold_092,How much is the overweight fee for a bag weighing 58 lbs?,baggage_lost_damaged,False,State $100 overweight fee for bags between 51-70 lbs.,False,Overweight baggage fee
gold_093,My bag was delivered to my hotel but the TSA lock was cut and items stolen.,baggage_lost_damaged,True,Direct to file stolen property claim with Delta Baggage Care and TSA.,False,Pilferage / stolen contents
gold_094,Do SkyMiles Medallion members get free checked bags on domestic flights?,baggage_lost_damaged,False,"Explain Medallion checked bag allowances (Silver 1 free, Gold/Plat/Diamond up to 3 bags).",False,Medallion baggage allowance
gold_095,How many days does Delta search before declaring a lost bag permanently lost?,baggage_lost_damaged,False,Explain 5-14 day tracing window before transition to final settlement claim.,False,Lost bag tracing timeline
gold_096,Can I check my stroller and car seat for free at the gate?,baggage_lost_damaged,False,Confirm strollers and car seats gate-check free of charge.,False,Infant stroller gate check
gold_097,What is the phone number for Delta baggage service at Detroit DTW airport?,baggage_lost_damaged,False,Provide baggage customer service contact details and online tracking.,False,Airport station contact
gold_098,My bag file reference number is ATLDL88912. Any updates on courier delivery?,baggage_lost_damaged,False,Direct to delta.com/bagtracking delivery status tab or DM to check courier dispatch.,False,Courier delivery tracking
gold_099,Delta broke my hard-shell Pelican camera case on flight DL331.,baggage_lost_damaged,False,Instruct filing damaged baggage claim within 24h at delta.com/damaged-bag.,False,Damaged fragile case
gold_100,Can I check a box instead of a suitcase as checked luggage?,baggage_lost_damaged,False,Explain cardboard box baggage guidelines and weight/dimension limits.,False,Cardboard box luggage rules
gold_101,Is scuba gear allowed as checked baggage without extra oversize fees?,baggage_lost_damaged,False,Detail special sports equipment rules for scuba gear (empty tank required).,False,Scuba equipment rules
gold_102,Left my passport on seat 3A on flight DL108 from London. I need it to clear customs!,baggage_lost_damaged,True,Escalate urgently to CBP / Delta Station Operations for aircraft retrieval.,True,Left-behind passport at customs
gold_103,"How do I claim the Delta 20-minute bag-to-carousel guarantee 2,500 bonus miles?",baggage_lost_damaged,False,Direct to delta.com/bagsontime claim form within 3 days of travel.,False,Bags-on-time 20min guarantee
gold_104,My bag was loaded onto a flight to Tokyo while I flew to Los Angeles!,baggage_lost_damaged,True,Escalate to Global Baggage Tracing to arrange expedited return flight.,False,Mishandled international bag
gold_105,What are the rules for flying with dry ice in checked baggage?,baggage_lost_damaged,False,State FAA/Delta max 5.5 lbs (2.5 kg) dry ice allowance with proper venting.,False,Hazardous / dry ice rules
gold_106,Baggage claim desk agent at LGA told me they don't do delayed bag reports and walked away.,baggage_lost_damaged,True,Escalate to Station Leadership and provide immediate online claim link.,True,Multi-intent baggage + staff misconduct
gold_107,Can I bring my snowboard in a padded bag on my flight to Salt Lake City?,baggage_lost_damaged,False,Confirm snowboard bag + boot bag count as one standard checked piece.,False,Ski/snowboard allowance
gold_108,Are power banks and spare lithium batteries allowed in checked luggage?,baggage_lost_damaged,False,Explain FAA safety rule: spare lithium batteries must be in carry-on only.,False,Lithium battery safety policy
gold_109,How do I update the delivery address for my delayed bag that is en route?,baggage_lost_damaged,False,Direct to edit contact/delivery details at delta.com/bagtracking.,False,Delivery address update
gold_110,Delta lost my mobility scooter during transfer in Atlanta.,baggage_lost_damaged,True,Escalate immediately to Accessibility CRO and Station Operations.,True,Accessibility device loss
gold_111,Gate agent Sarah at MSP was shockingly rude and slammed the door in my face.,staff_service_complaint,True,Apologize and request DM with flight details for station manager investigation.,False,Rude gate agent incident
gold_112,Flight attendant refused to assist disabled passenger with overhead bin on DL302.,staff_service_complaint,True,Escalate to In-Flight Operations & Accessibility compliance.,True,Disability assistance failure complaint
gold_113,Check-in kiosk staff in Atlanta stood watching videos on their phone while 50 people waited.,staff_service_complaint,True,Log airport operations feedback via DM.,False,Airport staff neglect complaint
gold_114,Sky Club receptionist laughed when I asked for a day pass receipt.,staff_service_complaint,True,Request Sky Club location and visit details for club manager follow-up.,False,Sky Club staff conduct
gold_115,I was racially profiled and harassed by your boarding supervisor in Detroit.,staff_service_complaint,True,Escalate immediately to Executive Customer Care and Civil Rights liaison.,True,Discrimination / Civil rights escalation
gold_116,Flight attendant spilled hot coffee on my lap and didn't even apologize.,staff_service_complaint,True,Escalate to In-Flight Medical / Claims team.,True,In-flight injury / spill incident
gold_117,Pilot made inappropriate and offensive political jokes over the PA system on DL110.,staff_service_complaint,True,Escalate to Chief Pilot Office for flight crew review.,False,Flight deck PA complaint
gold_118,Delta phone agent hung up on me after keeping me on hold for 2 hours!,staff_service_complaint,True,Apologize and request DM with call timestamp and phone number to trace recording.,False,Call center disconnection
gold_119,Staff at gate B2 told us conflicting boarding groups and caused a massive chaotic crowd.,staff_service_complaint,True,Forward operational feedback to gate supervisor.,False,Boarding process chaos
gold_120,Flight attendant rolled their eyes and sighed when I asked for a cup of water.,staff_service_complaint,True,Log in-flight service feedback with flight number and seat.,False,In-flight service attitude
gold_121,Baggage counter employee yelled at elderly passengers in line.,staff_service_complaint,True,Escalate to Station Operations Manager for immediate review.,False,Staff yelling at customers
gold_122,Delta supervisor refused to give her name or badge number when asked.,staff_service_complaint,True,Request station and date details to identify personnel.,False,Identification refusal
gold_123,Crew members were loudly complaining about their company and scheduling in the galley all night.,staff_service_complaint,True,Log crew professional standards report.,False,Crew professionalism complaint
gold_124,Special assistance wheelchair attendant abandoned my 80yo mother alone at wrong concourse.,staff_service_complaint,True,Escalate urgently to Airport Accessibility Director.,True,Severe passenger abandonment
gold_125,Gate agent snatched my boarding pass aggressively.,staff_service_complaint,True,Log gate agent conduct incident via DM.,False,Aggressive physical behavior
gold_126,Customer service agent at Salt Lake gave me completely false rebooking info.,staff_service_complaint,True,Escalate to correct booking and audit agent guidance.,False,Agent misinformation
gold_127,Flight attendant mocked a non-native English speaker who couldn't understand safety instructions.,staff_service_complaint,True,Escalate to Customer Care Diversity & In-Flight Standards.,True,Mocking passenger / language bias
gold_128,Staff in JFK Terminal 4 refused to allow access to Sky Club despite valid Diamond status.,staff_service_complaint,True,Verify Sky Club credentials and review club access denial.,False,Sky Club wrongful denial
gold_129,Flight attendant forcibly pushed my backpack under seat after I told them it contained fragile lenses.,staff_service_complaint,True,Log cabin safety incident report.,False,Fragile property mishandling by crew
gold_130,Your check-in agent threatened to cancel my ticket just because I asked why the flight was delayed.,staff_service_complaint,True,Escalate to Station Operations Manager urgently.,True,Staff retaliatory threat
gold_131,Flight crew spent the entire red-eye flight laughing loudly in the forward galley preventing sleep.,staff_service_complaint,True,Log service quality complaint for red-eye route.,False,Red-eye galley noise
gold_132,Agent at customer service desk told me 'that's not my problem' when I asked about hotel vouchers.,staff_service_complaint,True,Escalate to station manager and issue voucher via care portal.,False,Dismissive agent conduct
gold_133,My flight from Atlanta to London on Friday hasn't credited to my SkyMiles account #2819028192.,loyalty_account_skymiles,False,Advise mileage posts within 24-48 hours and provide link to delta.com/request-miles.,False,Standard missing miles
gold_134,How many MQDs do I need to reach Diamond Medallion for next year?,loyalty_account_skymiles,False,"State Diamond Medallion threshold ($28,000 MQDs) and track in app.",False,Diamond MQD requirements
gold_135,Do Delta SkyMiles expire if I have no account activity for 2 years?,loyalty_account_skymiles,False,Confirm SkyMiles never expire.,False,Mileage expiration rule
gold_136,How do I claim SkyMiles for a flight taken on partner airline Air France?,loyalty_account_skymiles,False,Explain partner mileage credit submission with ticket 057 number at delta.com/request-miles.,False,Partner airline mileage claim
gold_137,Can I pool SkyMiles with my family members into a single shared balance?,loyalty_account_skymiles,False,Explain Delta mileage transfer fees and rules regarding individual accounts.,False,Family pooling rules
gold_138,When do Choice Benefits open for newly qualified Platinum Medallion members?,loyalty_account_skymiles,False,Explain Choice Benefits selection timeline via delta.com/choicebenefits.,False,Choice benefits timing
gold_139,"I flew on Korean Air flight KE035, why did it only earn 50% MQDs?",loyalty_account_skymiles,False,Explain partner fare class earning percentage chart for SkyTeam partners.,False,Partner fare class earning
gold_140,How do I link my Delta SkyMiles account to Starbucks and Lyft for bonus miles?,loyalty_account_skymiles,False,Provide links to deltabarbucks.com and deltalyft.com.,False,Partner account linking
gold_141,My SkyMiles account got locked for suspicious login activity. How do I unlock it?,loyalty_account_skymiles,True,Direct to SkyMiles Fraud & Security department for identity verification.,True,Account security / fraud lock
gold_142,Can I use SkyMiles to upgrade a flight booked through an employer corporate portal?,loyalty_account_skymiles,False,Explain Mileage Upgrade Award eligibility on eligible published fare classes.,False,Mileage upgrade on corporate ticket
gold_143,How do MQD Headstart bonuses work with the Delta SkyMiles Reserve American Express card?,loyalty_account_skymiles,False,"Explain $2,500 MQD Headstart per eligible card deposit.",False,Amex MQD Headstart
gold_144,Can I inherit SkyMiles from a deceased spouse's account?,loyalty_account_skymiles,True,Direct to SkyMiles Bereavement Services with documentation requirements.,False,Deceased mileage transfer
gold_145,Why was my Medallion complimentary upgrade not processed at 72 hours for Gold status?,loyalty_account_skymiles,False,Explain upgrade clearance windows subject to inventory availability.,False,Medallion upgrade clearance
gold_146,How many SkyMiles does an award flight from NYC to London typically cost?,loyalty_account_skymiles,False,Explain dynamic award pricing and direct to delta.com search.,False,Award pricing
gold_147,Can I gift SkyMiles to a friend for their birthday?,loyalty_account_skymiles,False,Explain Buy & Gift Miles portal terms and fees.,False,Gift miles
gold_148,How does Million Miler status calculate lifetime flight miles?,loyalty_account_skymiles,False,Explain lifetime flight miles tracking under new MQD program.,False,Million Miler rules
gold_149,"I changed my legal name, how do I update my name on my SkyMiles account?",loyalty_account_skymiles,False,Direct to delta.com/identity with marriage cert or legal court order.,False,SkyMiles legal name update
gold_150,Are SkyMiles earned on Basic Economy tickets?,loyalty_account_skymiles,False,Clarify Basic Economy tickets do not earn SkyMiles or MQDs.,False,Basic Economy mileage exclusion
gold_151,How do Regional Upgrade Certificates (RUCs) work for Platinum members?,loyalty_account_skymiles,False,Explain RUC booking online and waitlist rules.,False,Regional upgrade certificates
gold_152,Can I use SkyMiles to pay for Delta Sky Club annual membership?,loyalty_account_skymiles,False,Explain Medallion Sky Club membership rates using miles.,False,Sky Club membership purchase
gold_153,"My SkyMiles balance suddenly decreased by 50,000 miles without my authorization!",loyalty_account_skymiles,True,Escalate urgently to SkyMiles Security & Fraud investigation team.,True,Unauthorized mileage drain / theft
gold_154,How do I view my SkyMiles statement for tax purposes?,loyalty_account_skymiles,False,Direct to Activity History tab in SkyMiles account on delta.com.,False,Account statement
gold_155,Do MQDs roll over into the following qualifying year?,loyalty_account_skymiles,False,Clarify that MQDs reset January 1 and do not roll over.,False,MQD rollover rule
gold_156,Can I combine SkyMiles and cash to purchase a ticket?,loyalty_account_skymiles,False,Explain Pay with Miles feature for Delta SkyMiles Amex cardholders.,False,Pay with miles
gold_157,Can I bring my emotional support dog in cabin for free on Delta?,general_policy_inquiry,False,Explain ESA policy change: only trained Service Animals fly free; pets require cabin fee.,False,Emotional support animal policy
gold_158,Is Wi-Fi free on all Delta domestic flights?,general_policy_inquiry,False,Confirm fast free Wi-Fi for SkyMiles members on most domestic aircraft.,False,Free Wi-Fi policy
gold_159,What is the maximum carry-on bag size for overhead compartments?,general_policy_inquiry,False,State dimensions: 22 x 14 x 9 inches (56 x 35 x 23 cm).,False,Carry-on dimensions
gold_160,Can a 13-year-old child fly alone without paying for unaccompanied minor service?,general_policy_inquiry,False,"Explain unaccompanied minor rules (mandatory ages 5-14, optional 15-17).",False,Unaccompanied minor age
gold_161,Can I bring a portable oxygen concentrator (POC) onboard the aircraft?,general_policy_inquiry,False,Detail FAA-approved POC models and battery life requirements (150% of flight duration).,False,Medical portable oxygen concentrator
gold_162,What ID is accepted for TSA checkpoint before REAL ID deadline?,general_policy_inquiry,False,"Provide list of TSA approved IDs (driver's license, passport, military ID).",False,TSA ID requirements
gold_163,Can I bring a bottle of wine purchased at duty free in my carry-on bag?,general_policy_inquiry,False,Explain TSA duty-free liquid rules with tamper-evident secure bag.,False,Duty free liquids
gold_164,Are power outlets available at every seat in Main Cabin on Boeing 737-900ER?,general_policy_inquiry,False,Confirm 110V power outlets and USB ports at every seat on 737-900ER.,False,In-seat power availability
gold_165,Can I travel with frozen breast milk and dry ice in my personal item?,general_policy_inquiry,False,Explain TSA breast milk exemption and Delta dry ice limits.,False,Traveling with infant milk
gold_166,Are e-cigarettes and vapes allowed to be used onboard the aircraft?,general_policy_inquiry,False,Clarify that using or charging e-cigarettes on board is strictly prohibited by federal law.,False,Vape / e-cigarette federal ban
gold_167,What complimentary snacks are served on domestic flights over 900 miles?,general_policy_inquiry,False,"List signature snacks (Biscoff cookies, almonds, snack bars) and complimentary beverages.",False,In-flight snack menu
gold_168,How many weeks pregnant can I be before Delta restricts flying?,general_policy_inquiry,False,Explain Delta has no travel restrictions for pregnant passengers but recommends consulting doctor.,False,Pregnancy travel policy
gold_169,Can I bring knitting needles or crochet hooks in my carry-on bag through security?,general_policy_inquiry,False,Confirm TSA permits knitting needles and crochet hooks in carry-on.,False,Knitting needles carry-on
gold_170,What are Delta's Sky Club lounge admission rules for Amex Platinum cardholders?,general_policy_inquiry,False,Detail Amex Platinum Sky Club access rules with same-day Delta ticket.,False,Sky Club access rules
gold_171,Can I travel with a cremated remains urn in my carry-on bag?,general_policy_inquiry,False,"Provide guidelines for crematory urns (scannable material, death certificate).",False,Cremated remains policy
gold_172,Does Delta provide free kosher or vegan special meals on transcontinental flights?,general_policy_inquiry,False,Explain special meal ordering 24 hours in advance on eligible long routes.,False,Special meal request rules
